id_col,land_use_type,q25,q5,q75,q95,BVIAS_ES_25_75,BVIAS_ES_5_95,set
A.2.1,arable,0.669825859627755,0.682284390278652,0.665800407958732,0.665868170441141,-0.00604603364747775,-0.0246538587760324,init
A.2.1,grassland,0.412480225477416,0.480005953310244,0.407672078806531,0.408389127089974,-0.0117941525084594,-0.175364184474216,init
A.2.2,arable,0.665347635775348,0.662531546046538,0.666347182524833,0.666397177178378,0.00150003898222875,0.00580079157628988,init
A.2.2,grassland,0.407771469373274,0.407771469373274,0.407771469373274,0.407771469373274,0,0,init
A.3.1,arable,0.664018583206242,0.663529462918636,0.670095430108327,0.67531517078069,0.00906862907735784,0.0174521591872864,init
A.3.1,grassland,0.407771469373274,0.407771469373274,0.407771469373274,0.407771469373274,0,0,init
A.3.2,arable,0.666104236608981,0.662814690622654,0.666109083220209,0.66610908322025,7.27600230968957e-06,0.00494572537829703,init
A.3.2,grassland,0.407771469373274,0.407771469373274,0.407771469373274,0.407771469373274,0,0,init
A.3.3,arable,0.67325516150228,0.694663905732449,0.663510884443461,0.662910734703608,-0.0146859340024118,-0.0478996181032408,init
A.3.3,grassland,0.407771469373274,0.407771469373274,0.407771469373274,0.407771469373274,0,0,init
A.4.3,arable,0.661659288764406,0.656816073812306,0.668407052775859,0.668982714034053,0.0100952914596427,0.0181867781730564,init
A.4.3,grassland,0.388803310931306,0.388803310931306,0.423960221375792,0.434697548324838,0.0829250214333758,0.105577401046754,init
A.4.5,arable,0.633712684230774,0.59608601052779,0.676854733822595,0.681360686766655,0.0637390084400723,0.125153502242006,init
A.4.5,grassland,0.0991426330690721,0.0991426330690721,0.425957517969366,0.428479313715723,0.767247603606794,0.768617457376603,init
A.5.1,arable,0.655226397940013,0.596254866117338,0.67118743551033,0.674429907638363,0.0237802985066026,0.115912774086144,init
A.5.1,grassland,0.407771469373274,0.407771469373274,0.407771469373274,0.407771469373274,0,0,init
A.2.1,arable,0.702270346802997,0.704286946910807,0.673695613416371,0.67074091873943,-0.0424149019491477,-0.0500133915110211,optim
A.2.1,grassland,0.464660619634084,0.494318808638288,0.406896088228611,0.407344856464181,-0.14196384058875,-0.213514300705932,optim
A.2.2,arable,0.686231986266681,0.685519773526012,0.69522354153968,0.69522354153968,0.0129333296929017,0.0139577667237469,optim
A.2.2,grassland,0.42140458287668,0.42140458287668,0.42140458287668,0.42140458287668,0,0,optim
A.3.1,arable,0.692333939792513,0.691944335270498,0.697174399476237,0.701332138627999,0.0069429681975697,0.0133856739773344,optim
A.3.1,grassland,0.42140458287668,0.42140458287668,0.42140458287668,0.42140458287668,0,0,optim
A.3.2,arable,0.692805992907237,0.685655050488934,0.694015107993758,0.694015144726577,0.00174220283189087,0.0120459824272801,optim
A.3.2,grassland,0.42140458287668,0.42140458287668,0.42140458287668,0.42140458287668,0,0,optim
A.3.3,arable,0.696047858961118,0.705551680902013,0.69332448069245,0.693173202214555,-0.00392799957957416,-0.0178576994146796,optim
A.3.3,grassland,0.42140458287668,0.42140458287668,0.42140458287668,0.42140458287668,0,0,optim
A.4.3,arable,0.683601423925131,0.677410927780764,0.694016869074135,0.694016869074135,0.0150074812488329,0.0239272876976673,optim
A.4.3,grassland,0.405102280420071,0.405102280420071,0.435318107078172,0.444546369907923,0.0694109116225555,0.0887288529563785,optim
A.4.5,arable,0.629573756423876,0.608850348298333,0.699771572104305,0.699771572104305,0.100315329285719,0.129929862015628,optim
A.4.5,grassland,0.110919395532934,0.110919395532934,0.450824485484083,0.461495394479679,0.753963240453029,0.759652215688973,optim
A.5.1,arable,0.693947336530663,0.626102276093904,0.693999108946757,0.693999108946757,7.46001189715157e-05,0.0978341787151521,optim
A.5.1,grassland,0.42140458287668,0.42140458287668,0.42140458287668,0.42140458287668,0,0,optim
