"","id_col","land_use_type","q25","q5","q75","q95","BVIAS_ES_25_75","BVIAS_ES_5_95","set"
"1","A.2.1","arable",0.666519616476675,0.68757878050305,0.659715230842957,0.659829772539075,-0.00680438563371788,-0.0277490079639745,"init"
"2","A.2.1","grassland",0.509124407623092,0.509124407623092,0.509124407623092,0.509124407623092,0,0,"init"
"3","A.2.2","arable",0.659529088619074,0.656911005199321,0.660458354737736,0.660504834142203,0.000929266118662397,0.00359382894288229,"init"
"4","A.2.2","grassland",0.509124407623092,0.509124407623092,0.509124407623092,0.509124407623092,0,0,"init"
"5","A.3.1","arable",0.656627024872011,0.655546195447179,0.664591398660308,0.666858493350018,0.00796437378829706,0.0113122979028393,"init"
"6","A.3.1","grassland",0.509124407623092,0.509124407623092,0.509124407623092,0.509124407623092,0,0,"init"
"7","A.3.2","arable",0.660232490956592,0.657174241172429,0.660236996790468,0.660236996790507,4.50583387601178e-06,0.00306275561807812,"init"
"8","A.3.2","grassland",0.509124407623092,0.509124407623092,0.509124407623092,0.509124407623092,0,0,"init"
"9","A.3.3","arable",0.669588906873397,0.684172385772123,0.654441255723937,0.652577277278355,-0.0151476511494608,-0.0315951084937682,"init"
"10","A.3.3","grassland",0.509124407623092,0.509124407623092,0.509124407623092,0.509124407623092,0,0,"init"
"11","A.4.3","arable",0.656100078507339,0.651597402106559,0.662373390361737,0.662908575437714,0.00627331185439772,0.0113111733311549,"init"
"12","A.4.3","grassland",0.467404532789274,0.431811893931887,0.529863918100058,0.550790812131047,0.0624593853107845,0.11897891819916,"init"
"13","A.4.5","arable",0.630118469604978,0.595137421396735,0.670227093834874,0.674416221962554,0.0401086242298965,0.0792788005658197,"init"
"14","A.4.5","grassland",0.488923831088741,0.380625945500473,0.517312513691205,0.517312513691205,0.0283886826024641,0.136686568190732,"init"
"15","A.5.1","arable",0.650119500319037,0.595294404327643,0.66495827743519,0.667972763241721,0.0148387771161538,0.0726783589140774,"init"
"16","A.5.1","grassland",0.509124407623092,0.509124407623092,0.509124407623092,0.509124407623092,0,0,"init"
"17","A.2.1","arable",0.737397333780826,0.739248117284446,0.704969842258414,0.700390190616659,-0.0324274915224123,-0.0388579266677862,"optim"
"18","A.2.1","grassland",0.43277454997068,0.43277454997068,0.43277454997068,0.43277454997068,0,0,"optim"
"19","A.2.2","arable",0.72432766683207,0.724326742873058,0.72925368512361,0.72925368512361,0.00492601829154071,0.00492694225055246,"optim"
"20","A.2.2","grassland",0.43277454997068,0.43277454997068,0.43277454997068,0.43277454997068,0,0,"optim"
"21","A.3.1","arable",0.724327021247719,0.724327021247719,0.729253963498273,0.729253963498273,0.00492694225055379,0.00492694225055379,"optim"
"22","A.3.1","grassland",0.43277454997068,0.43277454997068,0.43277454997068,0.43277454997068,0,0,"optim"
"23","A.3.2","arable",0.729253683570185,0.729253663982185,0.729253683570185,0.729253683570185,0,1.95879995557036e-08,"optim"
"24","A.3.2","grassland",0.43277454997068,0.43277454997068,0.43277454997068,0.43277454997068,0,0,"optim"
"25","A.3.3","arable",0.737883733833342,0.751341535179316,0.723905307873171,0.722185207216255,-0.0139784259601714,-0.0291563279630611,"optim"
"26","A.3.3","grassland",0.43277454997068,0.43277454997068,0.43277454997068,0.43277454997068,0,0,"optim"
"27","A.4.3","arable",0.72616041318673,0.724326741319631,0.729253683570185,0.729253683570185,0.00309327038345508,0.00492694225055379,"optim"
"28","A.4.3","grassland",0.43277454997068,0.221235217340566,0.43277454997068,0.43277454997068,0,0.211539332630115,"optim"
"29","A.4.5","arable",0.729253683570185,0.632104493268171,0.729253683570185,0.729253683570185,0,0.0971491903020137,"optim"
"30","A.4.5","grassland",0.363697342272572,0.291539332630115,0.485262067115099,0.538012504995253,0.121564724842527,0.246473172365139,"optim"
"31","A.5.1","arable",0.641010020026677,0.632822029624379,0.729253687022265,0.729253687022265,0.0882436669955879,0.0964316573978861,"optim"
"32","A.5.1","grassland",0.43277454997068,0.43277454997068,0.43277454997068,0.43277454997068,0,0,"optim"
