"","file","cat"
"1","Bo","Dairy cattle"
"2","Bo","Non-dairy cattle"
"3","Bo","Sheep"
"4","Bo","Swine"
"5","Bo","Deer"
"6","Bo","Goats"
"7","Bo","Horses"
"8","Bo","Poultry"
"9","Bo","Swine unspecified"
"10","Bo","Mature dairy cattle"
"11","Bo","Other mature cattle"
"12","Bo","Growing cattle"
"13","Bo","Buffalo"
"14","Bo","Mules and Asses"
"15","Bo","market swine"
"16","Bo","breeding swine"
"17","Bo","swine"
"18","Bo","Reindeer"
"19","Bo","Ostrich"
"20","Bo","Fur-bearing Animals"
"21","Bo","Other"
"22","Bo","Total"
"23","Bo","White swine"
"24","Bo","Iberian swine"
"25","Bo","Rabbit"
"26","Bo","sheep"
"27","Bo","Breeding swine"
"28","Bo","Market swine"
"29","Bo","Lambs Upland"
"30","Bo","Other Sheep over 1yr Lowland"
"31","Bo","Ewes Upland"
"32","Bo","Ewes Lowland"
"33","Bo","Rams Lowland"
"34","Bo","Lambs Lowland"
"35","Bo","Rams Upland"
"36","Bo","Other Sheep over 1yr Upland"
"37","Bo","Sows in Pig"
"38","Bo","Other Sows for Breeding"
"39","Bo","Pigs over 20 kg"
"40","Bo","Dairy Cows"
"41","Bo","Calves"
"42","Bo","Bulls under 2 years"
"43","Bo","Young Cattle"
"44","Bo","Bulls"
"45","Bo","Suckler Cows"
"46","Bo","Sheep lambs under 1 year"
"47","Bo","Breeding Pigs"
"48","Bo","Fattening Pigs"
"49","Bo","Weaners"
"50","Bo","dairy cows"
"51","Bo","non-lactating cows"
"52","Bo","bulls"
"53","Bo","calves"
"54","Bo","growing cattle 1-2 years"
"55","Bo","all swine"
"56","Bo","Non-dairy Cattle"
"57","Bo","Dairy Cattle"
"58","Bo","Mature Ewes"
"59","Bo","Other Mature Sheep"
"60","Bo","Growing Lambs"
"61","Bo","Market Swine"
"62","Bo","Breeding Swine"
"63","Bo","Dairy cows"
"64","Bo","Other cows"
"65","mcf","Dairy cattle"
"66","mcf","Non-dairy cattle"
"67","mcf","Mature dairy cattle"
"68","mcf","Other mature cattle"
"69","mcf","Growing cattle"
